Geneid	gene_name	Chr	Length	202402-2401121737-SLA	202402-C01P026-Control	202402-C01P034-Control	202402-C01P040-Control	202402-C01P030-SLA	202402-2309211582-SLA	202402-C01P027-Control	202402-C01P039-SLA	202505S13-2411071506-SLA	202505S13-C01P035-SLA	202505S13-C01P148-SLA	202505S13-C01P038-SLA	202505S13-C01P041-SLA	202505S13-C01P022-SLA	202505S13-C01P086-Control	202505S13-C01P181-SLA	202505S15-C01P196-SLA	202505S15-C01P222-SLA	202505S15-C01P238-SLA	202505S15-C01P195-SLA	202505S15-C01P163-SLA	202505S15-C01P188-SLA	202505S15-C01P260-SLA	202505S15-C01P216-SLA	202408-C01P088-Control	202408-C01P073-SLA	202408-C01P075-SLA	202408-C01P094-Control	202408-C01P083-SLA	202408-C01P070-Control	202408-C01P090-SLA	202408-C01P095-Control	202505S14-C01P092-SLA	202505S14-C01P120-SLA	202505S14-C01P179-SLA	202505S14-C01P047-SLA	202505S14-C01P167-SLA	202505S14-C01P145-SLA	202505S14-C01P051-SLA	202505S14-C01P116-SLA	202401-C01P013-Control	202401-C01P017-Control	202401-C01P024-Control	202401-C01P003-Control	202401-C01P014-Control	202401-C01P012-Control	202401-C01P016-Control	202401-C01P023-Control	202404-C01P069-Control	202404-C01P059-Control	202404-C01P053-SLA	202404-C01P061-Control	202404-C01P068-Control	202404-C01P056-SLA	202404-C01P060-Control	202404-C01P057-SLA	202409-C01P089-SLA	202409-C01P128-SLA	202409-C01P006-SLA	202409-C01P035-SLA	202409-C01P082-SLA	202409-C01P154-SLA	202409-C01P135-SLA	202409-C01P138-SLA	202501-C01P138-SLA	202501-C01P135-SLA	202501-C01P082-SLA	202501-C01P253-SLA	202501-C01P128-SLA	202501-2406121482-SLA	202501-C01P089-SLA	202501-C01P006-SLA	202312-2306221774-SLA	202312-2106212448-SLA	202312-2108021909-SLA	202312-2306221661-SLA	202312-2309191962-SLA	202312-2307121892-SLA	202312-2306221684-Control	202312-2306221703-Control	202304-1409241167-SLA	202304-1912031641-SLA	202304-2006161710-SLA	202304-2105201539-SLA	202304-1810111440-Control	202304-2105181882-SLA	202304-2103051881-SLA	202304-2102111799-SLA	202501b-C01P278-SLA	202501b-C01P120-SLA	202501b-C01P276-SLA	202501b-C01P263-SLA	202501b-C01P269-SLA	202501b-C01P255-SLA	202501b-C01P159-SLA	202501b-C01P114-SLA
ENSG00000104133	SPG11	15	11853	45750	47489	41050	20440	51691	46976	49740	44277	132789	162519	90009	91285	8093	95773	33538	25594	69581	92200	78292	68307	90558	64341	98960	79330	34407	28185	23633	33201	38208	44773	26163	21019	512254	22331	136500	56311	57794	68074	168688	120827	82574	113568	98922	131471	107284	114476	78139	97017	30421	22678	28949	16197	34939	13699	21191	30833	19381	16699	22155	30532	44371	1385	26950	23925	32315	47473	78704	131797	12575	26940	54103	73179	112340	71958	36602	53734	84388	59846	67367	29402	76129	66077	118926	79189	120488	109124	97153	180836	81171	11	264090	59880	276528	67512	110861	208457
ENSG00000162063	CCNF	16	6309	459	545	434	304	463	842	768	565	1636	1300	748	1193	95	1202	1228	884	745	716	945	1182	1079	824	838	966	695	549	537	371	741	585	550	355	7833	179	1616	516	815	877	1358	1162	1194	1603	1503	1804	2183	1314	2002	2072	453	713	423	376	541	215	830	439	306	393	267	233	853	641	639	469	788	1394	1523	2004	435	797	821	1325	1260	2469	2131	762	644	907	1000	410	941	1014	919	1031	1798	1180	1906	2829	1072	0	2658	961	3064	521	1434	2502
ENSG00000089280	FUS	16	7218	25040	24545	18756	20013	14295	37574	32136	22740	69839	65954	42838	69892	2851	51787	24423	12119	38378	44872	41040	42123	55927	27414	37738	50319	25686	18047	17250	19695	23992	31240	10787	11055	246283	11146	74677	26074	30094	37371	83379	64078	47862	68231	54298	77031	75013	62734	63711	65699	19468	18595	23404	13034	22899	7361	18693	22666	15541	11790	15577	16549	36737	483	15963	17179	19718	26373	51668	57780	9529	19457	30248	36706	62015	68936	34123	27675	35975	33320	33639	18867	40808	47725	43320	36273	83388	73188	56427	126051	30902	13	101179	44571	127542	25840	57870	105598
ENSG00000108518	PFN1	17	1987	96001	71872	38767	39940	67668	107940	66013	74846	197076	187093	83819	225757	4484	183789	78874	45635	89094	121654	113195	127434	132279	87531	119177	136667	53744	54055	44846	48909	72624	64298	55323	32798	516972	29298	180120	93933	87124	69753	202120	136318	127319	202383	160356	246420	174951	179774	125138	129022	46958	51878	46337	25505	57304	25400	50679	49459	31013	37885	38057	43600	54719	144	42919	33414	64018	116550	168514	203890	61395	95952	100199	111646	142717	173410	104711	96272	117721	93580	97171	55651	128751	106775	138913	159155	165714	207365	166479	84586	97785	22	420365	104886	358180	75216	182488	270088
ENSG00000172660	TAF15	17	5903	18146	15025	15677	15599	11564	26160	18294	13569	48621	46967	26161	46312	1755	45764	18041	7046	23688	30942	25838	37044	38594	21062	26942	28757	16701	11915	9583	12112	14959	24106	5575	7209	157243	7050	39226	18662	20382	23103	56825	37986	41862	54959	33604	64805	63288	54296	48863	49385	15606	12061	13903	7689	18090	4229	12287	18907	12393	6907	11233	11710	32343	828	9313	14369	13885	14443	37764	50923	5350	10914	23838	23988	41718	41415	25157	14415	22815	25999	22199	11163	22469	33910	27957	22401	52282	36809	36591	65643	21374	2	76231	22543	78027	15552	44120	65413
ENSG00000030582	GRN	17	3520	37970	109659	9796	18538	37096	77366	66802	40581	92746	168608	105505	327407	5531	180206	137769	32137	66067	54920	55324	30732	64178	29959	79313	90897	70786	71702	54511	80290	126222	40238	36736	41808	615143	20422	142065	114262	54671	89213	169316	114739	118985	129226	184167	175884	129588	65787	122732	138288	44824	79724	32269	37052	38648	33768	72573	46053	32540	38148	20974	27680	46520	432	49954	20876	47064	129395	112227	91182	56882	59401	114226	86092	61454	277757	136545	42399	61280	20518	26754	34818	97584	106653	92007	115681	154551	184563	75196	79258	27828	8	199794	175731	185041	50801	67368	177243
ENSG00000186868	MAPT	17	14924	152	170	107	67	138	195	214	131	347	232	206	203	17	320	387	830	232	400	244	296	271	264	168	352	104	96	103	91	147	175	112	72	1666	47	538	145	197	215	378	417	297	352	398	305	412	367	1156	430	112	198	135	68	183	56	194	91	50	190	62	67	139	465	122	76	162	192	350	430	146	167	143	269	361	1646	1051	243	264	191	280	133	228	262	291	212	269	307	422	685	187	0	569	176	966	114	352	369
ENSG00000124164	VAPB	20	10585	2393	2560	2256	1668	4073	2897	2992	2735	8555	8478	5631	7432	333	8149	1909	1643	4367	5771	4058	5361	5372	5037	4311	3437	1793	1515	1495	1844	2240	2837	2160	1072	21909	1519	6624	3049	2659	3563	10556	5784	5465	7249	5142	8921	6735	5962	6329	5483	1979	1638	1889	1281	2622	896	1785	2255	1214	961	1394	1696	3466	262	1367	1474	1758	2258	4560	6406	798	4816	2821	3707	5774	5173	3088	3211	3648	2869	4387	1606	4524	5098	6842	10184	7685	7554	5769	11180	5976	0	12269	4071	15819	4065	9057	11538
ENSG00000130477	UNC13A	19	11438	20	32	5	22	5	10	19	29	12	31	61	336	0	125	385	1688	34	134	40	111	24	146	21	37	83	40	33	46	92	12	53	38	111	36	50	0	22	28	53	25	39	53	81	132	67	54	2279	34	28	43	12	11	54	18	45	17	16	247	7	8	14	1783	61	6	23	76	48	78	274	151	48	195	35	2633	1359	99	67	5	145	14	91	36	78	50	41	49	25	1151	31	0	69	124	210	24	58	102
ENSG00000130203	APOE	19	2191	1	3	0	2	2	0	1	1	2	17	4	34	0	36	71	110	4	14	0	8	1	10	1	0	3	9	6	12	1	7	4	7	29	1	7	0	0	3	6	0	11	5	3	12	13	7	137	3	1	3	2	2	3	7	4	1	0	1	0	2	2	48	0	0	7	0	0	5	123	6	9	11	1	239	146	17	3	2	6	0	6	4	13	2	11	10	7	118	2	0	8	19	39	3	6	14
