Sample,Date_Mapping,Total_reads,Unique_reads,Unique_pct,Multi_reads,Multi_pct,No_map_reads,No_map_pct
202501b-C01P114-SLA.Log.final.out,	May0123:10:00,	4242348,	3563164,	83.99,	98660,	2.33%,580493,13.68,	0.00,	13.68,	0.00
202501b-C01P120-SLA.Log.final.out,	May0123:10:19,	1148,	594,	51.74,	27,	2.35%,527,45.91,	0.00,	45.91,	0.00
202501b-C01P159-SLA.Log.final.out,	May0123:11:20,	2640255,	2213415,	83.83,	71810,	2.72%,355020,13.44,	0.00,	13.44,	0.00
202501b-C01P255-SLA.Log.final.out,	May0123:12:08,	1578286,	1218231,	77.19,	34935,	2.21%,325106,20.60,	0.00,	20.60,	0.00
202501-C01P006-SLA.Log.final.out,	May0123:03:09,	2231735,	1644644,	73.69,	57009,	2.55%,530068,23.75,	0.00,	23.75,	0.00
202501-C01P082-SLA.Log.final.out,	May0123:04:11,	2431935,	1860697,	76.51,	62061,	2.55%,509161,20.93,	0.00,	20.93,	0.00
202501-C01P089-SLA.Log.final.out,	May0123:04:59,	1585477,	1268221,	79.99,	47910,	3.02%,269342,16.99,	0.00,	16.99,	0.00
202501-C01P128-SLA.Log.final.out,	May0123:05:44,	949623,	556934,	58.65,	18305,	1.93%,374367,39.43,	0.00,	39.42,	0.01
202501-C01P135-SLA.Log.final.out,	May0123:06:40,	1760833,	1240396,	70.44,	39574,	2.25%,480841,27.31,	0.00,	27.30,	0.01
202501-C01P138-SLA.Log.final.out,	May0123:07:25,	1239117,	827719,	66.80,	42486,	3.43%,368895,29.77,	0.00,	29.77,	0.00
202501-C01P253-SLA.Log.final.out,	May0123:08:31,	2899425,	2361468,	81.45,	82725,	2.85%,455222,15.70,	0.00,	15.70,	0.00
