CRAC_Sample,CRAC_Date_Mapping,CRAC_Total_reads,CRAC_Unique_reads,CRAC_Unique_pct,CRAC_Multi_reads,CRAC_Multi_pct,CRAC_No_map_reads,CRAC_No_map_pct,CRAC_Dup_reads,CRAC_Dup_pct,CRAC_Explainable_reads,CRAC_Explainable_pct,CRAC_Rep_reads,CRAC_Rep_pct,CRAC_Normal_reads,CRAC_Normal_pct,CRAC_AlmostNormal_reads,CRAC_AlmostNormal_pct,CRAC_SeqErr_reads,CRAC_SeqErr_pct,CRAC_SNV_reads,CRAC_SNV_pct,CRAC_ShortIndel_reads,CRAC_ShortIndel_pct,CRAC_Splice_reads,CRAC_Splice_pct,CRAC_WeakSplice_reads,CRAC_WeakSplice_pct,CRAC_Chimera_reads,CRAC_Chimera_pct,CRAC_PE_Chimera_reads,CRAC_PE_Chimera_pct,CRAC_BioUndetermined_reads,CRAC_BioUndetermined_pct,CRAC_Undetermined_reads,CRAC_Undetermined_pct
202501b-C01P255-SLA,2025-05-15,3156572,2898347,91.8194,76114,2.41129,45245,1.43336,136866,4.33591,3087220,97.8029,44675,1.4153,2964,0.0938993,0,0,1255593,39.7771,344939,10.9276,3534,0.111957,734012,23.2535,896,0.0283852,23007,0.72886,151195,4.78985,2267084,71.8211,2267084,71.8211
202501b-C01P263-SLA,2025-05-15,3776236,3512517,93.0164,97239,2.57502,51314,1.35887,115166,3.04976,3706369,98.1498,43738,1.15824,3824,0.101265,0,0,1442887,38.2097,299933,7.94264,4259,0.112784,1094710,28.9894,678,0.0179544,22188,0.587569,128565,3.40458,2828530,74.9034,2828530,74.9034
202501b-C01P269-SLA,2025-05-15,11193866,10382724,92.7537,278913,2.49166,129823,1.15977,402406,3.59488,11009728,98.355,182617,1.6314,11490,0.102646,0,0,2936020,26.2288,855773,7.64502,14620,0.130607,2725102,24.3446,1423,0.0127123,64857,0.579398,376600,3.36434,9379589,83.7922,9379589,83.7922
202501b-C01P276-SLA,2025-05-15,9566096,8930178,93.3524,247619,2.58851,89969,0.940499,298330,3.11862,9441032,98.6926,129329,1.35195,11010,0.115094,0,0,2964990,30.9948,584977,6.11511,9317,0.0973961,2723784,28.4733,1141,0.0119275,41243,0.431137,291889,3.05129,7613697,79.5904,7613697,79.5904
202501b-C01P278-SLA,2025-05-15,3889628,3595586,92.4404,124973,3.21298,52363,1.34622,116706,3.00044,3815804,98.102,67150,1.72639,4631,0.11906,0,0,1543704,39.6877,283264,7.28255,5368,0.138008,860199,22.1152,684,0.0175852,20091,0.516528,117360,3.01726,2815484,72.3844,2815484,72.3844
202501-C01P006-SLA,2025-05-15,4463470,4049741,90.7308,138402,3.10077,58309,1.30636,217018,4.86209,4373974,97.9949,68928,1.54427,5150,0.115381,0,0,610497,13.6776,679584,15.2255,15238,0.341394,1031283,23.105,870,0.0194916,68246,1.52899,253181,5.67229,4062620,91.0193,4062620,91.0193
202501-C01P082-SLA,2025-05-15,4863870,4431606,91.1128,157039,3.22868,65219,1.34089,210006,4.31767,4765852,97.9848,67157,1.38073,4231,0.0869883,0,0,1540051,31.6631,531803,10.9337,14304,0.294087,1174087,24.1389,1067,0.0219373,43291,0.890053,196904,4.0483,3852849,79.2137,3852849,79.2137
202501-C01P089-SLA,2025-05-15,3170954,2893847,91.2611,105310,3.32108,40848,1.28819,130949,4.12964,3111160,98.1143,44549,1.40491,3060,0.0965009,0,0,1231157,38.8261,320045,10.093,7372,0.232485,879282,27.7293,798,0.0251659,24358,0.76816,138291,4.36118,2274628,71.7332,2274628,71.7332
202501-C01P128-SLA,2025-05-15,1899246,1631074,85.8801,63362,3.33617,103155,5.43137,101655,5.35239,1769434,93.1651,28899,1.5216,875,0.0460709,0,0,199006,10.4782,306284,16.1266,19776,1.04126,313010,16.4808,98,0.00515994,36927,1.9443,63837,3.36118,1723147,90.728,1723147,90.728
202501-C01P135-SLA,2025-05-15,3521666,3147915,89.3871,110574,3.13982,113168,3.21348,150009,4.2596,3378927,95.9468,48490,1.37691,1839,0.0522196,0,0,334535,9.49934,357963,10.1646,24211,0.687487,773285,21.9579,269,0.00763843,41680,1.18353,101110,2.87108,3285231,93.2863,3285231,93.2863
202501-C01P138-SLA,2025-05-15,2478234,2183769,88.118,83175,3.35622,53254,2.14887,158036,6.37696,2403629,96.9896,37512,1.51366,1524,0.0614954,0,0,583522,23.5459,362389,14.6229,11128,0.449029,519860,20.977,430,0.0173511,39569,1.59666,115953,4.67886,2111149,85.1876,2111149,85.1876
202501-C01P253-SLA,2025-05-15,5798850,5309108,91.5545,205488,3.5436,55578,0.958431,228676,3.94347,5708551,98.4428,107429,1.85259,6481,0.111764,0,0,1884147,32.4917,606772,10.4637,14562,0.251119,1534100,26.4552,1513,0.0260914,40820,0.703933,265566,4.57963,4382701,75.5788,4382701,75.5788
